invoice_row,model_no,sku,handle,product_name,line,type,category,price_tier,retail_thb,retail_usd,cost_usd,weight_g,size_mm,material,metal_finish,stone,stock_qty,description_html,image_url_1,seo_title,seo_description,quote_text,invoice_image,notes
397,ORGCB09-P,ORGCB09-P,whale-tail-charm,Whale Tail Charm,A,Charm,Animals,Classic,900,29,3.99,1.1,11.4 x 11mm,925 Sterling Silver,Rhodium Plated,Blue stone,30,"<p style=""font-family: Inter, sans-serif;"">Blue pave fluke. Could also read as a mermaid tail.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Blue stone<br>
<strong>Size:</strong> 11.4 x 11mm<br>
<strong>Weight:</strong> 1.1g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Whale Tail Charm | Orloff of Denmark,Blue pave fluke.,,img_0387.jpg,"Identified from the invoice photograph, confidence high"
398,ORGCB10-P,ORGCB10-P,royal-guard-charm,Royal Guard Charm,A,Charm,Travel & Lifestyle,Signature,1200,39,4.88,1.2,12 x 5mm,925 Sterling Silver,Enamel,,30,"<p style=""font-family: Inter, sans-serif;"">Danish Livgarde, red tunic and gold bearskin.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Enamel<br>
<strong>Size:</strong> 12 x 5mm<br>
<strong>Weight:</strong> 1.2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Royal Guard Charm | Orloff of Denmark,"Danish Livgarde, red tunic and gold bearskin.",,img_0388.jpg,"Identified from the invoice photograph, confidence medium. NEEDS CONFIRMATION"
399,ORGCB11-18K,ORGCB11-18K,,,A,Charm,,Signature,1200,39,6.21,2.8,20 x 11mm,925 Sterling Silver,"Rhodium Plated, 18K Gold",,30,,,,,,img_0389.jpg,"HOLD, not named: Standing crowned figure with halo. DO NOT PUBLISH UNCONFIRMED."
400,ORGCB12-18K,ORGCB12-18K,,,A,Charm,,Signature,1200,39,5.12,2.50,17 x 9mm,925 Sterling Silver,18K Gold Plated,,30,,,,,,img_0390.jpg,"HOLD, not named: Seated figure on a lotus pedestal. DO NOT PUBLISH UNCONFIRMED."
401,ORGCB18,ORGCB18,,,A,Charm,,Signature,1200,39,5.45,2.20,11 x 11mm,925 Sterling Silver,"Rhodium Plating, Enamel",,30,,,,,,img_0391.jpg,"HOLD, not named: White temple on blue and red enamel with stars. Reads as Angkor Wat. CONFIRM COUNTRY."
402,ORGCB19-18K,ORGCB19-18K,,,A,Charm,,Signature,1200,39,6.13,3.30,13.6 x 8.2MM,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0392.jpg,"HOLD, not named: Buddha head, gold. DO NOT PUBLISH UNCONFIRMED."
403,ORGCB19-P,ORGCB19-P,,,A,Charm,,Signature,1200,39,6.13,3.30,13.6 x 8.2MM,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0393.jpg,"HOLD, not named: Same design, rhodium finish."
404,ORGCB20-18K,ORGCB20-18K,,,A,Charm,,Signature,1200,39,5.75,3.00,16 x 13mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0394.jpg,"HOLD, not named: Seated crowned figure, Thai style. DO NOT PUBLISH UNCONFIRMED."
405,ORGCB20-P,ORGCB20-P,,,A,Charm,,Signature,1200,39,5.75,3.00,16 x 13mm,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0395.jpg,"HOLD, not named: Same design, rhodium finish."
406,ORGCB21-18K,ORGCB21-18K,,,A,Charm,,Statement,1600,49,7.65,4.50,15 x 10mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0396.jpg,"HOLD, not named: Buddha head, gold. DO NOT PUBLISH UNCONFIRMED."
407,ORGCB21-P,ORGCB21-P,,,A,Charm,,Statement,1600,49,7.65,4.50,15 x 10mm,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0397.jpg,"HOLD, not named: Same design, rhodium finish."
408,ORGCB22-18K,ORGCB22-18K,,,A,Charm,,Classic,900,29,4.34,1.7,17 x 15mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0398.jpg,"HOLD, not named: Winged figure on a plinth. Thai national emblem. NATIONAL SYMBOL, CONFIRM."
409,ORGCB22-P,ORGCB22-P,,,A,Charm,,Classic,900,29,4.34,1.7,17 x 15mm,925 Sterling Silver,Silver Oxidation,,14,,,,,,img_0399.jpg,"HOLD, not named: Same design, rhodium finish."
410,ORGCB23-18K,ORGCB23-18K,,,A,Charm,,Signature,1200,39,4.99,2.40,14 x 11mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0400.jpg,"HOLD, not named: Seated crowned figure. DO NOT PUBLISH UNCONFIRMED."
411,ORGCB23-P,ORGCB23-P,,,A,Charm,,Signature,1200,39,4.99,2.40,14 x 11mm,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0401.jpg,"HOLD, not named: Same design, rhodium finish."
412,ORGCB24-18K,ORGCB24-18K,,,A,Charm,,Signature,1200,39,5.25,2.60,16 x 14mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0402.jpg,"HOLD, not named: Seated crowned figure, headdress. DO NOT PUBLISH UNCONFIRMED."
413,ORGCB24-P,ORGCB24-P,,,A,Charm,,Signature,1200,39,5.25,2.60,16 x 14mm,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0403.jpg,"HOLD, not named: Same design, rhodium finish."
414,ORGCB25,ORGCB25,little-mermaid-charm,Little Mermaid Charm,A,Charm,Travel & Lifestyle,Statement,1600,49,7.25,3.80,19 x 14mm,925 Sterling Silver,Silver Oxidation,,30,"<p style=""font-family: Inter, sans-serif;"">Copenhagen's Den Lille Havfrue, figure seated on a rock.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Silver Oxidation<br>
<strong>Size:</strong> 19 x 14mm<br>
<strong>Weight:</strong> 3.80g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Little Mermaid Charm | Orloff of Denmark,"Copenhagen's Den Lille Havfrue, figure seated on a rock.",,img_0404.jpg,"Identified from the invoice photograph, confidence high"
415,ORGCB26-18K,ORGCB26-18K,,,A,Charm,,Signature,1200,39,5.10,2.30,16 x 6mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0405.jpg,"HOLD, not named: Figure riding an elephant under a canopy. DO NOT PUBLISH UNCONFIRMED."
416,ORGCB26-P,ORGCB26-P,,,A,Charm,,Signature,1200,39,5.10,2.30,16 x 6mm,925 Sterling Silver,Silver Oxidation,,13,,,,,,img_0406.jpg,"HOLD, not named: Same design, rhodium finish."
417,ORGCB27,ORGCB27,coat-of-arms-charm,Coat of Arms Charm,A,Charm,Travel & Lifestyle,Classic,900,29,4.02,1.7,10.5 x 7.5mm,925 Sterling Silver,Rhodium Plating,,30,"<p style=""font-family: Inter, sans-serif;"">Openwork heraldic crest with crown and shield, stars around the band.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plating<br>
<strong>Size:</strong> 10.5 x 7.5mm<br>
<strong>Weight:</strong> 1.7g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Coat of Arms Charm | Orloff of Denmark,"Openwork heraldic crest with crown and shield, stars around the band.",,img_0407.jpg,"Identified from the invoice photograph, confidence medium. NEEDS CONFIRMATION"
418,ORGCB28-18K,ORGCB28-18K,,,A,Charm,,Signature,1200,39,5.35,2.50,14.5 x 5.5mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0410.jpg,"HOLD, not named: Singha guardian lion. CONFIRM."
419,ORGCB28-P,ORGCB28-P,,,A,Charm,,Signature,1200,39,5.35,2.50,14.5 x 5.5mm,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0411.jpg,"HOLD, not named: Same design, rhodium finish."
420,ORGCB29-18K,ORGCB29-18K,,,A,Charm,,Classic,900,29,4.21,1.60,16.5 x 7.5mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0412.jpg,"HOLD, not named: Standing figure, tall headdress. DO NOT PUBLISH UNCONFIRMED."
421,ORGCB29-P,ORGCB29-P,,,A,Charm,,Classic,900,29,4.21,1.60,16.5 x 7.5mm,925 Sterling Silver,Silver Oxidation,,14,,,,,,img_0413.jpg,"HOLD, not named: Same design, rhodium finish."
422,ORGCB30-18K,ORGCB30-18K,,,A,Charm,,Signature,1200,39,6.03,3.00,15 x 8mm,925 Sterling Silver,18K Gold Plated,,15,,,,,,img_0414.jpg,"HOLD, not named: Bust with tall headdress. DO NOT PUBLISH UNCONFIRMED."
423,ORGCB30-P,ORGCB30-P,,,A,Charm,,Signature,1200,39,6.03,3.00,15 x 8mm,925 Sterling Silver,Silver Oxidation,,15,,,,,,img_0415.jpg,"HOLD, not named: Same design, rhodium finish."
432,ORPA0010,ORPA0010,fluted-clip-clear-stone,"Fluted Clip, Clear Stone",A,Charm,Spacers & Clips,Signature,1200,39,5.92,1.94,4.4 x 10.2mm,925 Sterling Silver,Silver Plating,,10,"<p style=""font-family: Inter, sans-serif;"">A fluted silver band set with a single clear stone. Clips grip the chain, so your charms stay where you put them.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Silver Plating<br>
<strong>Size:</strong> 4.4 x 10.2mm<br>
<strong>Weight:</strong> 1.94g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Fluted Clip, Clear Stone | Orloff of Denmark",A fluted silver band set with a single clear stone.,,img_0421.jpg,Named and described from the product photograph
433,ORPA034,ORPA034,polished-dome-spacer,Polished Dome Spacer,A,Charm,Spacers & Clips,Signature,1200,39,4.66,1.10,3.3 x 8.6mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">A plain polished dome in 925 sterling silver. Sits between charms to give them room.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 3.3 x 8.6mm<br>
<strong>Weight:</strong> 1.10g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Polished Dome Spacer | Orloff of Denmark,A plain polished dome in 925 sterling silver.,,img_0422.jpg,"Named and described from the product photograph; invoice says ORPA034, image file says PA0034"
434,ORPA0035,ORPA0035,polished-spacer-pink-stone,"Polished Spacer, Pink Stone",A,Charm,Spacers & Clips,Signature,1200,39,5.35,1.50,3.6 x 9.8mm,925 Sterling Silver,Oxidized Silver,,9,"<p style=""font-family: Inter, sans-serif;"">A polished silver band set with a single pink stone. Sits between charms to give them room.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 3.6 x 9.8mm<br>
<strong>Weight:</strong> 1.50g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Polished Spacer, Pink Stone | Orloff of Denmark",A polished silver band set with a single pink stone.,,img_0423.jpg,Named and described from the product photograph
435,ORPA0094,ORPA0094,pink-enamel-spacer,Pink Enamel Spacer,A,Charm,Spacers & Clips,Signature,1200,39,4.79,1.40,3.6 x 10.5mm,925 Sterling Silver,Silver Plating,,10,"<p style=""font-family: Inter, sans-serif;"">A slim silver ring finished in pale pink enamel. Sits between charms to give them room.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Silver Plating<br>
<strong>Size:</strong> 3.6 x 10.5mm<br>
<strong>Weight:</strong> 1.40g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Pink Enamel Spacer | Orloff of Denmark,A slim silver ring finished in pale pink enamel.,,img_0424.jpg,Named and described from the product photograph
436,ORPA0097,ORPA0097,lilac-daisy-spacer,Lilac Daisy Spacer,A,Charm,Spacers & Clips,Signature,1200,39,5.57,1.50,5.1 x 10.2mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">Daisies in lilac and white enamel with clear stone centres, set around a silver ring.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 5.1 x 10.2mm<br>
<strong>Weight:</strong> 1.50g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Lilac Daisy Spacer | Orloff of Denmark,"Daisies in lilac and white enamel with clear stone centres, set around a silver ring.",,img_0425.jpg,Named and described from the product photograph
437,ORPA0123,ORPA0123,starry-night-spacer-blue-enamel,"Starry Night Spacer, Blue Enamel",A,Charm,Spacers & Clips,Classic,900,29,4.39,1.23,4.1 x 9.8mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">Deep blue enamel with silver stars and a crescent moon.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 4.1 x 9.8mm<br>
<strong>Weight:</strong> 1.23g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Starry Night Spacer, Blue Enamel | Orloff of Denmark",Deep blue enamel with silver stars and a crescent moon.,,img_0426.jpg,Named and described from the product photograph
438,ORPA0132,ORPA0132,butterfly-clip-red-stone,"Butterfly Clip, Red Stone",A,Charm,Spacers & Clips,Signature,1200,39,5.46,1.63,3.8 x 11.1mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">A butterfly set with clear stones beside an oval red stone. Clips grip the chain, so your charms stay where you put them.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 3.8 x 11.1mm<br>
<strong>Weight:</strong> 1.63g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Butterfly Clip, Red Stone | Orloff of Denmark",A butterfly set with clear stones beside an oval red stone.,,img_0427.jpg,Named and described from the product photograph
439,ORPA0142,ORPA0142,tulip-spacer-pink-stone,"Tulip Spacer, Pink Stone",A,Charm,Spacers & Clips,Classic,900,29,3.77,0.95,3.5 x 9.2mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">Oxidized tulips with a pink stone at the bud, set around a polished silver ring.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 3.5 x 9.2mm<br>
<strong>Weight:</strong> 0.95g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Tulip Spacer, Pink Stone | Orloff of Denmark","Oxidized tulips with a pink stone at the bud, set around a polished silver ring.",,img_0428.jpg,Named and described from the product photograph
440,ORPA0147,ORPA0147,butterfly-spacer-clear-stones,"Butterfly Spacer, Clear Stones",A,Charm,Spacers & Clips,Classic,900,29,3.75,0.93,3.5 x 9.2mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">Two oxidized butterflies with clear stones, set around a polished silver ring.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 3.5 x 9.2mm<br>
<strong>Weight:</strong> 0.93g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Butterfly Spacer, Clear Stones | Orloff of Denmark","Two oxidized butterflies with clear stones, set around a polished silver ring.",,img_0429.jpg,Named and described from the product photograph
441,ORPA0149,ORPA0149,scroll-spacer-oxidized-silver,"Scroll Spacer, Oxidized Silver",A,Charm,Spacers & Clips,Classic,900,29,3.62,0.90,3.5 x 9.2mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">A repeating scroll pattern in oxidized silver on a polished band.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 3.5 x 9.2mm<br>
<strong>Weight:</strong> 0.90g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Scroll Spacer, Oxidized Silver | Orloff of Denmark",A repeating scroll pattern in oxidized silver on a polished band.,,img_0430.jpg,Named and described from the product photograph
