sku	provisional_name	category	confidence	note
ORCB73	Lucky Cat Charm	Animals	high	Beckoning cat with red enamel ears and a coloured heart flower collar.
ORCB74	Elephant Charm, Blue Enamel	Animals	high	Walking elephant dangle patched with blue enamel.
ORCB76	Treasure Chest Charm	Travel & Lifestyle	high	Domed chest in blue glitter enamel with silver scrollwork.
ORCB77	Owl Charm, Gold Heart	Animals	high	Turquoise enamel owl with blue stone eyes and a gold heart.
ORCB78	Mother and Child Charm	Milestones & Sentiment	high	Two rose gold figures forming a heart inside a pave ring.
ORCB79	Safety Chain	Spacers & Clips	high	Two pave heart clips joined by a silver chain. Functional, not decorative.
ORCB80	Sea Turtle Charm	Animals	high	Silver turtle over a disc set with blue stones.
ORCB81	I Love You Heart Charm	Milestones & Sentiment	high	Turquoise enamel heart lettered I Love you with white daisies.
ORCB82	Rainbow Heart Charm	Milestones & Sentiment	high	Openwork heart with arcs of blue, green, amber and red stones.
ORCB83	Corgi Charm	Animals	high	Dog's face in yellow and brown enamel with a pave blaze and bow tie.
ORCB84	Dog Kennel Charm	Animals	high	Kennel with a sleeping dog and a pink heart stone.
ORCB85	Puppy Face Charm	Animals	high	Puppy's face in brown and white enamel with floppy ears.
ORCB86	Dachshund Charm	Animals	high	Spotted dachshund dangle with a gold collar and tail heart.
ORCB88	Faceted Glass Charm, Red	Sparkle & Classic	high	Faceted red glass bead with a silver core.
ORCB89	Snowman Charm	Milestones & Sentiment	high	Snowman in a gold hat and scarf with a gold snowflake dangle.
ORCB100	Star Pave Charm, Purple	Sparkle & Classic	high	Pave bead set with two purple star stones.
ORCB101	Sweet Wrapper Charm	Travel & Lifestyle	high	Wrapped sweet with a spiral of yellow, purple and red stones.
ORCB102	Star Charm, Purple Centre	Sparkle & Classic	high	Pave star with a purple star stone at its centre.
ORCB103	Rainbow Egg Charm	Sparkle & Classic	high	Egg shaped dangle set with rainbow coloured stones.
ORCB104	Ribbon Bow Charm, Red Heart	Milestones & Sentiment	high	Pave ribbon tied in a bow with a red heart stone dangle.
ORCB106	Angel Charm, Pink Heart	Milestones & Sentiment	high	Winged angel with a halo above a pink heart stone in a pave frame.
ORCB107	Graduation Owl Charm	Milestones & Sentiment	high	Owl in a mortarboard with a blue pear stone and a small key.
ORCB108	Unicorn Charm, Gold Mane	Animals	high	Prancing unicorn with a gold horn, mane and tail.
ORCB110	Princess Charm	Milestones & Sentiment	high	Girl in a gown set with pink stones, holding a heart wand.
ORCB111	Butterfly Charm, Turquoise Spots	Animals	high	Pave butterfly with turquoise enamel spots and a beaded body.
ORCB113	Puzzle Heart Charm, Multicolour	Milestones & Sentiment	high	Heart in blue, red, yellow and white puzzle pieces with a red piece dangling. Note this reads as the autism awareness motif; decide how you want it positioned.
ORCB114	Mom Heart Charm	Milestones & Sentiment	high	Heart lettered Mom with pink stone flowers and green enamel leaves.
ORCB115	Stitched Heart Charm	Milestones & Sentiment	high	Polished heart laced with black stitching over red stones.
ORCB116	Heart Padlock Charm, Blue	Milestones & Sentiment	high	Blue enamel padlock with silver scrollwork, a blue heart stone and a key.
ORCB117	Frangipani Charm, Yellow	Nature	high	Five yellow enamel petals around a single clear stone.
ORCB118	Dreamcatcher Charm, Rainbow	Travel & Lifestyle	high	Openwork bead with rainbow stones and three silver feather drops.
ORCB119	Graduation Charm	Milestones & Sentiment	high	Mortarboard and scroll lettered GRADUATION with a gold tassel.
ORCB120	Angel Wing Charm	Milestones & Sentiment	high	Single feathered wing in pave with a gold leading edge.
ORCB122	Witch Hat Charm, Rose Gold	Milestones & Sentiment	high	Rose gold hat with black enamel stars and a star dangle.
ORCB123	Horse Charm	Animals	high	Galloping horse with a brown enamel mane and tail, gold horseshoe bail.
ORCB124	Clover Charm, Purple	Nature	high	Purple enamel clover among pave hearts.
ORCB125	Basketball Charm	Travel & Lifestyle	high	Red enamel basketball with a pave heart on the seam.
ORCB126	Cactus Charm	Nature	high	Cactus dangle set with green stones and a silver flower.
ORCB127	Rabbit and Strawberry Charm	Animals	high	Winking rabbit in a pink enamel basket with a red strawberry.
ORCB128	Ladybird Charm	Animals	high	Red enamel ladybird with black spots and a yellow pear stone.
ORCB129	Two Cats and Moon Charm	Animals	high	Pair of cats beside a crescent of blue stones.
ORCB135	Medical Chart Charm	Travel & Lifestyle	high	Clipboard with a stethoscope and red cross, gold heart dangle.
ORCB136	Camera Charm, Pink	Travel & Lifestyle	high	Pink enamel camera with a clear stone lens and flower detail.
ORCB137	Elephant Charm, Pink and Green	Animals	high	Elephant with pink pave ears and a green pave headdress.
ORCB138	Lucky Clover Heart Charm	Milestones & Sentiment	high	Rose gold heart lettered Lucky with a green enamel clover.
ORCB139	Sunflower Charm	Nature	high	Faceted yellow stone in a petalled frame with green stone leaves.
ORCB140	Rainbow Charm	Nature	high	Bands of coloured enamel with a white cloud.
ORCB142	Mermaid Charm	Animals	high	Mermaid dangle with a blue glitter tail and a pink flower in her hair.
ORCB144	Best Friends Charm	Milestones & Sentiment	high	Pink enamel heart lettered BFF with two yellow smiling faces.
ORCB146	Ship's Wheel Charm	Travel & Lifestyle	high	Ship's wheel framing a rose gold anchor and heart.
ORCB149	Giraffe Charm	Animals	high	Yellow enamel giraffe dangle with silver markings.
ORCB150	Lucky Star Charm, Gold	Milestones & Sentiment	high	Gold star bead engraved you are my lucky star.
ORCB151	Sunflower Charm, Gold	Nature	high	Gold petals around a pave centre.
ORCB152	Stars and Moon Charm, Blue	Nature	high	Cut-out stars and crescents with blue stones, engraved QUEEN.
ORCB153	Flower Heart Charm	Milestones & Sentiment	high	Polished heart with pink stone flowers and green enamel leaves.
ORCB154	I Love My Family Charm	Milestones & Sentiment	high	Girl embracing a heart lettered I love my family.
ORCB155	Cocktail Charm	Travel & Lifestyle	high	Footed glass with a straw and a slice of fruit on the rim.
ORCB156	Shopping Bag Charm	Travel & Lifestyle	high	Bag with rope handles, a pink pave heart and the words go shopping.
ORCB157	Heartbeat Charm	Milestones & Sentiment	high	Pave heart crossed by an ECG line ending in a red enamel heart.
ORCB159	Cool Drink Charm	Travel & Lifestyle	medium	Cup with a blue enamel rim, a straw and a face in dark sunglasses. CONFIRM SUBJECT.
ORCB160	Casino Charm	Travel & Lifestyle	high	Slot machine showing three red sevens under a CASINO sign.
ORCB161	Gift Box Charm	Milestones & Sentiment	high	Wrapped box with a red enamel ribbon, pink spots and a pink bow.
ORCB162	Wristwatch Charm	Travel & Lifestyle	high	Silver watch face on a green enamel strap.
ORCB163	Hot Air Balloon Charm	Travel & Lifestyle	high	Rainbow enamel balloon lettered LOVE with a heart dangle.
ORCB164	Birthday Cake Charm	Milestones & Sentiment	high	Tiered cake with three candles, lettered birthday.
ORCB165	Ice Lolly Charm	Travel & Lifestyle	high	Lolly in cream and chocolate enamel on a silver stick.
ORCB166	Carrot Charm	Nature	high	Orange enamel carrot with a green enamel top.
ORCB168	Cow Charm	Animals	high	Standing cow with black enamel patches and a red udder.
ORCB169	Pony Charm	Animals	medium	White pony with a striped mane and a pink enamel heart. Could read as a zebra. CONFIRM.
ORCB170	Police Box Charm	Travel & Lifestyle	high	Police box set with blue and clear stones for windows.
ORCB171	Umbrella Charm	Travel & Lifestyle	high	Open umbrella with panels of green, yellow, pink and purple stones.
ORCB173	Planet Charm	Nature	high	Blue glitter enamel planet encircled by a silver ring.
ORCB174	Handbag Charm	Travel & Lifestyle	high	Handbag with rope handles lettered GOT TO BUY IT.
ORCB175	Treble Clef Charm	Travel & Lifestyle	high	Polished treble clef.
ORCB176	Tree of Life Charm	Nature	high	Pave disc with a silver tree, green marquise leaves and champagne accents. SEE COLLISION NOTE: rows 222 and 491 show the SAME product, not two different ones. Same weight 2.6g, same 11mm, same subject. Recommend ONE SKU with 50 pieces total at a blended cost, but this is your call.
ORCB177	Ice Cream Cart Charm	Travel & Lifestyle	high	Cart lettered ICE CREAM under a green and orange enamel umbrella.
ORCB179	Panda Charm	Animals	high	Seated panda holding green enamel bamboo.
ORCB180	Crowned Shield Charm	Sparkle & Classic	high	Pave S inside a diamond shield under a small crown. TRADEMARK RISK: this closely resembles the Superman emblem, which DC Comics protects. Named neutrally on purpose. Take advice before listing.
ORCB182	Puzzle Cube Charm	Travel & Lifestyle	high	Cube faced with green, white and orange enamel squares. TRADEMARK RISK: closely resembles the Rubik's Cube, which is protected. Named neutrally on purpose. Take advice before listing.
ORCB199	Tree of Life Charm, Pink and Purple	Nature	high	Tree under a canopy of pink and purple stones.
ORCB200	Tree of Life Heart Charm	Nature	high	Openwork heart filled with a scrolled tree.
ORCB201	Tree of Life Charm, Pave Halo	Nature	high	Leafed tree inside a ring of clear stones.
ORCB202	Tree of Life Charm, Engraved	Nature	high	Scrolled openwork tree with lettering engraved around the rim.
ORCB203	Tree of Life Charm, Celtic Knot	Nature	high	Tree worked into interlaced Celtic knotwork.
ORCB204	Tree of Life Heart Charm, Stone Set	Nature	high	Heart bead with a tree whose leaves are set with clear stones.
ORCB205	Tree of Life Charm, Scrolled	Nature	high	Densely scrolled tree filling a round bead.
ORCB206	Tree of Life Charm, Oxidized	Nature	high	Tree in relief on a darkened textured ground.
ORCB208	Tree of Life Heart Charm, Red	Nature	high	Red enamel heart behind a beaded tree with pink heart leaves.
ORCB209	Tree of Life Heart Charm, Turquoise	Nature	high	Turquoise enamel heart behind a silver tree with heart shaped leaves.
ORCB210	Tree of Life Dangle, Scrolled	Nature	high	Scrolled tree dangle tipped with clear stones.
ORCB211	Tree of Life Heart Dangle, Pink	Nature	high	Openwork leafed heart layered over a pink enamel heart.
ORCB212	Tree of Life Dangle, Blue Stones	Nature	high	Simple branching tree with round blue stones for fruit.
ORCB213	Tree of Life Dangle, Beaded Ring	Nature	high	Tree with stone set leaves inside a beaded circle.
ORCB215	Flamingo Charm, Magenta	Animals	high	Deep pink flamingo dangle with a pave wing.
ORCB216	Flamingo Charm, Pale Pink	Animals	high	Pale pink flamingo dangle with a pave wing and pink stone bail.
ORCB217	Camel Charm	Animals	high	Standing camel under a blanket set with green and orange stones.
ORCB218	Dinosaur Charm	Animals	high	Green enamel dinosaur dangle with silver spines.
ORCB219	Rubber Duck Charm	Animals	high	Yellow enamel duck sitting in a ring float.
ORCB220	Giraffe Charm, Brown Spots	Animals	high	Giraffe with brown enamel markings and a pave mane.
ORCB221	Carousel Horse Charm	Animals	high	Black enamel horse with a red and yellow saddle.
ORCB145	Daisy Charm, Gold and White	Nature	high	Gold and white enamel petals around a yellow stone.
ORGCB56-R	Love Charm, Red Enamel	Milestones & Sentiment	high	Chinese character ai in red enamel with the word Love beneath. Confirms the handoff's reading: this is the red sibling of ORGCB56-B (black) and ORGCB56-L (blue). SKU written in canonical OR form though the invoice prints GCB56-R.
